,Number,Sentence,Garden Paths
947,948,Merjan_gen lahtea Pekka kaskee ,16
1213,1214,loro gli=lavano Luisa ,13
177,178,Pekka naki Merjan_acc lahdettyaan ,12
1214,1215,gli=lavano Luisa ,9
180,181,Pekka lahtee heidan ihailtua Merjaa ,3
694,695,Merjalle kirjan antoi Pekka ,3
178,179,Pekka lahtee Merjan_gen lahdettya ,3
179,180,Pekka lahtee heidan lahdettya ,3
693,694,Merjalle kirjan Pekka antoi ,2
128,129,se sopimus ihailla Merjaa peruuntui ,2
206,207,se' sopimus ostaa auto raukesi ,2
291,292,Pekka sanoi niiden kahden sukan haviavan ,2
656,657,Pekka etsii Merjaa juosten ,2
285,286,se Merjan_gen kello havisi ,2
199,200,mita kaupunkia kohti virtaamalla Seine saavuttaa meren ,1
205,206,Seine saavuttaa meren virtaamalla kohti Pariisia ,1
986,987,on'#C/op Pekka ihaillut Merjaa ,1
987,988,on'#C/op Pekka myynyt omaisuuttaan ,1
197,198,towards which city does_C Seine flow' ,1
682,683,Pekka Merjalle kirjan antoi ,1
702,703,the key gave John to Mary ,1
688,689,kirjan Merjalle antoi Pekka ,1
692,693,Merjalle antoi kirjan Pekka ,1
1008,1009,ihaillut#C/op Pekka on' Merjaa ,1
1009,1010,myynyt#C/op Pekka on' omaisuutensa ,1
1015,1016,ihaillut#C/op Merjaa on' Pekka ,1
1018,1019,myynyt#C/op omaisuuttaan on' Pekka ,1
162,163,Pekka naki Merjan_acc lahtematta ,1
163,164,Pekka naki Merjan_acc lahtemalla ,1
171,172,Pekka naki Merjan_acc lahtiessa ,1
172,173,Pekka naki Merjan_acc lahtiessaan ,1
306,307,Pekka ihailee#asp Merjaa koko paivan ,1
16,17,Pekka teki sen kellon ,1
305,306,me nukuttiin koko paiva ,1
302,303,Pekka nukkui#asp koko paivan ,1
287,288,ne kaksi_1 sukkaa havisi ,1
288,289,ne kahdet sukat havisivat ,1
289,290,ne kaksi_1 sukkaa havisivat ,1
1068,1069,ihailla#C/op Pekka sanoo etta Pekka haluaa Merjaa ,0
127,128,Pekka teki sopimuksen antaa avaimen Merjalle ,0
135,136,Pekka sanoo etta haluaa ihailla Merjaa ,0
136,137,Pekka sanoo etta haluaa myyda omaisuuttaan ,0
143,144,John moved the key from Mary to John ,0
204,205,John moved the key from Mary to John ,0
214,215,John asks whether Mary admires John ,0
1222,1223,Giuseppe spinge Luisa a lavare=lo ,0
53,54,loro hanno voluto lavare Luisa ,0
94,95,Pekka kaskee poikien ihailla Merjaa ,0
95,96,Pekka kaskee poikien myyda omaisuuttaan ,0
126,127,Pekka teki sopimuksen ihailla Merjaa ,0
164,165,Pekka naki Merjan_acc ihailemassa Jukkaa ,0
166,167,Pekka elaa haluamalla ihailla Merjaa ,0
208,209,Pekka naki Merjan_acc ihailemassa Jukkaa ,0
213,214,who does John say' that Mary admires ,0
217,218,Pekka teki sopimuksen ostaa auton ,0
663,664,Pekka sanoo etta tassa istuu mukavasti ,0
976,977,ei#C/op Pekka halua ihailla Merjaa ,0
980,981,ei#C/op Pekka halua myyda omaisuuttaan ,0
1024,1025,halua#C/op Pekka ei ihailla Merjaa ,0
1025,1026,ihailla#C/op Pekka ei halua Merjaa ,0
1026,1027,halua#C/op Pekka ei myyda omaisuuttaan ,0
1027,1028,myyda#C/op Pekka ei halua omaisuuttaan ,0
1069,1070,lahtea#C/op Pekka sanoo etta Pekan_gen taytyy ,0
1196,1197,loro mi=hanno voluto lavare ,0
1197,1198,loro hanno voluto lavare=mi ,0
1215,1216,loro gli=la=hanno lavata ,0
96,97,Pekka ei halua ihailla Merjaa ,0
97,98,Pekka ei halua myyda omaisuuttaan ,0
173,174,Pekka naki avaimen_acc Merjan_gen lahtiessa ,0
972,973,antoi#foc Pekka avaimen Merjalle ,0
973,974,antoi#C/op Pekka avaimen Merjalle ,0
975,976,ei#C/op Pekan_gen taydy ihailla Merjaa ,0
979,980,ei#C/op Pekan_gen taydy myyda omaisuuttaan ,0
984,985,haluaa#C/op Pekka ihailla Merjaa ,0
985,986,haluaa#C/op Pekka myyda omaisuuttaan ,0
991,992,haluaa#C/fin Pekka ihailla Merjaa ,0
996,997,haluaa#C/fin Pekka myyda omaisuuttaan ,0
1010,1011,ihailla#C/op Pekka haluaa Merjaa ,0
1011,1012,myyda#C/op Pekka haluaa omaisuutensa ,0
1016,1017,ihailla#C/op Merjaa haluaa Pekka ,0
1019,1020,myyda#C/op omaisuuttaan haluaa Pekka ,0
1020,1021,taydy#C/op Pekan_gen ei ihailla Merjaa ,0
1021,1022,taydy#C/op Pekan_gen ei myyda omaisuuttaan ,0
1022,1023,ihailla#C/op Pekan_gen ei taydy Merjaa ,0
1023,1024,myyda#C/op Pekan_gen ei taydy omaisuuttaan ,0
1224,1225,spinge Luisa a lavare=lo ,0
33,34,Pekka antoi kirjan Merjalle ,0
34,35,John gave the key to Mary ,0
72,73,Pekan_gen ei taydy ihailla Merjaa ,0
73,74,Pekan_gen ei taydy myyda omaisuuttaan ,0
84,85,io detesto lavare Luisa ,0
93,94,Pekka halusi ihailla Merjaa ,0
102,103,Pekan_gen ei taydy ihailla Merjaa ,0
103,104,Pekan_gen ei taydy myyda omaisuuttaan ,0
142,143,John gave the key to Mary ,0
218,219,Pekka teki sen Merjan_gen kellon ,0
226,227,Pekka antoi kirjan Merjalle ,0
263,264,me ei' haluttu voittaa Merjaa ,0
276,277,Pekka halusi ihailla Merjaa ,0
619,620,hanno voluto lavare Luisa ,0
632,633,Pekka sanoi etta ihailee Merjaa ,0
637,638,Pekka sanoi etta ihailee Merjaa ,0
677,678,Pekka antoi kirjan Merjalle ,0
678,679,Pekka antoi Merjalle kirjan ,0
679,680,Pekka kirjan antoi Merjalle ,0
680,681,Pekka kirjan Merjalle antoi ,0
681,682,Pekka Merjalle antoi kirjan ,0
683,684,kirjan Pekka antoi Merjalle ,0
684,685,kirjan Pekka Merjalle antoi ,0
685,686,kirjan antoi Pekka Merjalle ,0
686,687,kirjan antoi Merjalle Pekka ,0
687,688,kirjan Merjalle Pekka antoi ,0
689,690,Merjalle Pekka antoi kirjan ,0
690,691,Merjalle Pekka kirjan antoi ,0
691,692,Merjalle antoi Pekka kirjan ,0
701,702,John gave the key to Mary ,0
945,946,kaskee#C/op Pekka Merjan_gen lahtea ,0
946,947,lahtea#C/op Pekka Merjan_gen kaskee ,0
977,978,ei#C/op Pekka ollut ihaillut Merjaa ,0
981,982,ei#C/op Pekka ollut myynyt omaisuuttaan ,0
982,983,taytyy#C/op Pekan_gen ihailla Merjaa ,0
983,984,taytyy#C/op Pekan_gen myyda omaisuuttaan ,0
990,991,taytyy#C/fin Pekan_gen ihailla Merjaa ,0
992,993,on'#C/fin Pekka ihaillut Merjaa ,0
995,996,taytyy#C/fin Pekan_gen myyda omaisuuttaan ,0
997,998,on'#C/fin Pekka myynyt omaisuuttaan ,0
1012,1013,ihailla#C/op Pekan_gen taytyy Merjaa ,0
1013,1014,myyda#C/op Pekan_gen taytyy omaisuutensa ,0
1198,1199,mi=hanno voluto lavare ,0
1199,1200,hanno voluto lavare=mi ,0
1216,1217,gli=la=hanno lavata ,0
51,52,loro hanno lavato Luisa ,0
52,53,io ho lavato Luisa ,0
54,55,loro stanno lavando Luisa ,0
62,63,Pekan_gen taytyy ihailla Merjaa ,0
63,64,Pekan_gen taytyy myyda omaisuuttaan ,0
66,67,loro devono lavare Luisa ,0
78,79,Pekka on' ihaillut Merjaa ,0
82,83,John wants Mary to_inf leave ,0
83,84,John wants to_inf leave Mary ,0
92,93,Pekka kaskee Merjan_gen lahtea ,0
100,101,Pekan_gen taytyy ihailla Merjaa ,0
101,102,Pekan_gen taytyy myyda omaisuuttaan ,0
106,107,Pekka halusi heidan lahtevan ,0
108,109,Pekka sanoo ihailevansa Merjaa ,0
134,135,Pekka sanoi etta Merja lahtee ,0
137,138,John said that Mary sleeps ,0
161,162,Pekka naki Merjan_acc lahtemassa ,0
