,Number,Sentence,Garden Paths,Mean time per word
656,657,John promises Mary to_inf leave ,3,743
693,694,Merjalle kirjan antoi Pekka ,2,1276
692,693,Merjalle kirjan Pekka antoi ,2,1241
1014,1015,ihaillut#C/op Merjaa on' Pekka ,1,1132
1007,1008,ihaillut#C/op Pekka on' Merjaa ,1,1082
1017,1018,myynyt#C/op omaisuuttaan on' Pekka ,1,1047
1008,1009,myynyt#C/op Pekka on' omaisuutensa ,1,1015
127,128,Pekka teki sopimuksen antaa avaimen Merjalle ,1,960
681,682,Pekka Merjalle kirjan antoi ,1,885
687,688,kirjan Merjalle antoi Pekka ,1,851
199,200,mita kaupunkia kohti virtaamalla Seine saavuttaa meren ,1,655
1215,1216,gli=la=hanno lavata ,0,2052
1117,1118,mi=lavano ,0,1695
1119,1120,la=lavano ,0,1695
1121,1122,lo=lavano ,0,1695
1214,1215,loro gli=la=hanno lavata ,0,1655
1232,1233,mi=lavo ,0,1620
1234,1235,mi=lavi ,0,1620
1132,1133,la=hanno lavata ,0,1380
1131,1132,mi=hanno lavato ,0,1240
1133,1134,lo=hanno lavato ,0,1240
1130,1131,loro la=hanno lavata ,0,1173
1162,1163,mi=devono lavare ,0,1170
1164,1165,la=devono lavare ,0,1170
1166,1167,lo=devono lavare ,0,1170
1181,1182,mi=stanno lavando ,0,1170
1182,1183,la=stanno lavando ,0,1170
1183,1184,lo=stanno lavando ,0,1170
1116,1117,loro mi=lavano ,0,1167
1118,1119,loro la=lavano ,0,1167
1120,1121,loro lo=lavano ,0,1167
1222,1223,sembrano lavare=mi ,0,1147
1231,1232,io mi=lavo ,0,1135
1233,1234,tu mi=lavi ,0,1135
1185,1186,stanno lavando=mi ,0,1117
1186,1187,stanno lavando=la ,0,1117
1187,1188,stanno lavando=lo ,0,1117
1163,1164,devono lavare=mi ,0,1105
1165,1166,devono lavare=la ,0,1105
1167,1168,devono lavare=lo ,0,1105
1129,1130,loro mi=hanno lavato ,0,1080
1205,1206,loro mi=hanno lavato ,0,1080
1156,1157,loro mi=devono lavare ,0,1068
1158,1159,loro la=devono lavare ,0,1068
1160,1161,loro lo=devono lavare ,0,1068
1180,1181,loro mi=stanno lavando ,0,1068
968,969,ihailee#C/op Pekka Merjaa ,0,1060
967,968,ihailee#foc Pekka Merjaa ,0,1051
1197,1198,mi=hanno voluto lavare ,0,1038
1067,1068,ihailla#C/op Pekka sanoo etta Pekka haluaa Merjaa ,0,1027
987,988,ihailee#C/fin Pekka Merjaa ,0,1015
1198,1199,hanno voluto lavare=mi ,0,1005
1015,1016,ihailla#C/op Merjaa haluaa Pekka ,0,1002
1195,1196,loro mi=hanno voluto lavare ,0,995
1221,1222,Giuseppe spinge Luisa a lavare=lo ,0,989
1220,1221,loro sembrano lavare=mi ,0,988
1009,1010,ihailla#C/op Pekka haluaa Merjaa ,0,978
1184,1185,loro stanno lavando=mi ,0,973
985,986,on'#C/op Pekka ihaillut Merjaa ,0,968
1157,1158,loro devono lavare=mi ,0,965
1159,1160,loro devono lavare=la ,0,965
1161,1162,loro devono lavare=lo ,0,965
983,984,haluaa#C/op Pekka ihailla Merjaa ,0,960
