ï»¿dummy        {'LANG:EN', 'dummy'}
a               {'-SPEC:*', 'TAIL:V', 'PF:a', '-SPEC:C', '-COMP:A', '-SPEC:INF', '-COMP:N', '-VAL', 'LF:to', '-SPEC:N', '-SPEC:P', '-COMP:T/fin', '-SPEC:ADV', 'LANG:IT', 'adjoinable', '-SPEC:Neg/fin', '-SPEC:iWH', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:ARE/inf', '-ARG', '-COMP:ADV', '-SPEC:V', '!COMP:*', '-COMP:uWH', 'COMP:D', '-SPEC:iR', '-COMP:T', '-SPEC:C/fin', '-SPEC:v', 'P'}
a_D             {'PF:D', '-SPEC:C', '!PROBE:N', '-SPEC:MA/lla', '-SPEC:INF', '-SPEC:P', '-COMP:T/fin', '-COMP:D', 'adjoinable', '-SPEC:Neg/fin', 'LANG:EN', '-SPEC:T/fin', '-COMP:uR', '!COMP:*', '-ARG', '-SPEC:V', 'COMP:N', 'LF:D', 'D', '-COMP:P'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'PF:admire', '-COMP:T/fin', 'PHI:NUM:_', 'SPEC:ADV', 'PHI:PER:_', '-SPEC:Neg', 'LANG:EN', '-COMP:Neg', '-SPEC:T/fin', '-SPEC:FORCE', '!COMP:*', 'LF:admire', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:D', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'CLASS:TR', '-COMP:P'}
admire*         ['LANG:EN']
T/fin*          {"PF:T/fin'", '-SPEC:C', 'SPEC:D', 'NO_DET', 'SPEC:FORCE', '-VAL', 'PHI:GEN:_', '-SPEC:N', '!PROBE:V', '-SPEC:TO/inf', 'COMP:v', 'NO_NUMBER', '-COMP:T/fin', '-SPEC:T/prt', '!SPEC:*', 'T/fin', 'LANG:EN', '-SPEC:Neg', '-SPEC:T/fin', 'T', '-adjoinable', 'SPEC:C/fin', '!COMP:*', '-SPEC:V', 'FIN', '-COMP:INF', 'LF:T', 'COMP:V', 'SPEC:TO/inf', 'ARG', 'COMP:T/prt', '-SPEC:v', 'PHI:PER:_'}
v*              {'LANG:EN', 'SPEC:D', 'LF:v', 'NO_DET', '!COMP:*', '-VAL', 'ASP', '-SPEC:N', 'PHI:GEN:_', 'PF:v', '!PROBE:V', 'COMP:V', 'NO_NUMBER', 'ARG', 'v', 'PHI:PER:_'}
admire**        ['LANG:EN']
T/fin**         {'-SPEC:C', 'NO_DET', 'SPEC:FORCE', 'PHI:GEN:_', '!PROBE:V', 'NO_NUMBER', '-COMP:T/fin', 'T/fin', 'LANG:EN', 'T', 'SPEC:C/fin', '-SPEC:V', 'PHI:PER:3', 'FIN', 'NO_PERSON', 'LF:T', 'ARG', 'COMP:T/prt', "PF:T/fin''", 'SPEC:D', '-VAL', '-SPEC:N', '-SPEC:TO/inf', 'COMP:v', '-SPEC:T/prt', '-SPEC:Neg', '-SPEC:T/fin', '-adjoinable', '!COMP:*', '-COMP:INF', 'COMP:V', 'SPEC:TO/inf', '!SPEC:*', '-SPEC:v'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'PF:adora', 'PHI:NUM:_', 'SPEC:ADV', 'LANG:IT', '-SPEC:T/fin', '-SPEC:FORCE', 'LF:admire', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:D', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
antaa           ['LANG:FI']
anta-           {'SPEC:D', 'ASP:BOUNDED', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', '+SEM:directional', 'CLASS:DITR', 'PF:antaa', 'LF:give', 'LANG:FI', 'PHI:NUM:_', 'SPEC:ADV', '-COMP:FIN', '-SPEC:T/fin', '-SPEC:FORCE', '!COMP:*', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:D', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask-            {'SPEC:D', 'SEM:internal', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'LF:ask', 'PHI:NUM:_', 'SPEC:ADV', 'LANG:EN', '-SPEC:T/fin', '-SPEC:FORCE', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:D', 'PF:ask', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'-COMP:C/fin', '-COMP:A', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'N', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'LF:key', 'LANG:FI', 'COMP:R/D', '-SPEC:ADV', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', '-COMP:VA/inf', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:uR', 'SPEC:A', 'PF:avain', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:WH', '-SEM:directional'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'-COMP:C/fin', '-COMP:A', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'N', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', 'LANG:FI', 'LF:car', '-SPEC:ADV', '-COMP:WH', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:uR', 'SPEC:A', '-COMP:VA/inf', 'PF:auto', '-SPEC:C/fin', 'COMP:T/prt', '-SEM:directional'}
