ï»¿dummy        {'dummy', 'LANG:EN'}
a               {'-SPEC:FORCE', '-SPEC:C', '-COMP:ADV', 'COMP:D', '!COMP:*', '-VAL', '-SPEC:iR', '-SPEC:V', '-COMP:N', '-SPEC:INF', '-SPEC:Neg/fin', 'adjoinable', '-SPEC:P', '-SPEC:v', 'COMP:ARE/inf', '-COMP:T/fin', 'LF:to', 'TAIL:V', '-SPEC:*', '-COMP:uWH', '-SPEC:ADV', '-SPEC:T/fin', '-COMP:T', '-SPEC:N', '-ARG', '-SPEC:iWH', 'LANG:IT', '-COMP:A', '-SPEC:C/fin', 'PF:a', 'P'}
a_D             {'PF:D', '-SPEC:C', '-COMP:D', '!COMP:*', '!PROBE:N', '-SPEC:V', '-SPEC:INF', '-COMP:uR', '-SPEC:Neg/fin', '-SPEC:P', '-COMP:T/fin', 'LANG:EN', '-SPEC:T/fin', '-COMP:P', 'D', '-ARG', 'COMP:N', 'LF:D', '-SPEC:MA/lla', 'adjoinable', 'OP'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'SPEC:TO/inf', '-SPEC:FORCE', 'COMP:D', '!COMP:*', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', 'PF:admire', 'SPEC:ADV', '-COMP:T/fin', 'LF:admire', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:NUM:_', 'LANG:EN', '-SPEC:T/fin', 'V', '-COMP:Neg', '-COMP:P', '-COMP:V', '-SPEC:Neg', 'COMP:P', 'CLASS:TR', '-COMP:v', 'ASP', 'PHI:PER:_'}
admire*         ['LANG:EN']
T/fin*          {'CAT:T/fin', 'LANG:EN', "PF:T/fin'", '-VAL', 'LF:T', '!SPEC:*', 'NO_NUMBER', 'NO_DET'}
v*              {'NO_NUMBER', 'LANG:EN', 'CAT:v', '-VAL', 'NO_DET', 'LF:v', 'PF:v'}
admire**        ['LANG:EN']
T/fin**         {'CAT:T/fin', 'LANG:EN', "PF:T/fin''", 'PHI:PER:3', '-VAL', 'LF:T', '!SPEC:*', 'NO_NUMBER', 'NO_PERSON', 'NO_DET'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'SPEC:TO/inf', '-SPEC:FORCE', 'COMP:D', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', 'SPEC:ADV', 'LF:admire', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:NUM:_', '-SPEC:T/fin', 'V', '-COMP:V', 'COMP:P', 'LANG:IT', '-COMP:v', 'ASP', 'PHI:PER:_', 'PF:adora'}
antaa           ['LANG:FI']
anta-           {'CLASS:DITR', 'LANG:FI', 'SPEC:TO/inf', '-SPEC:FORCE', 'COMP:D', '!COMP:*', '-COMP:FIN', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', 'SPEC:ADV', 'PHI:DET:_', '+SEM:directional', 'PF:antaa', 'PHI:NUM:_', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', 'LF:give', '-COMP:v', 'ASP:BOUNDED', 'ASP', 'PHI:PER:_'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask-            {'SPEC:TO/inf', '-SPEC:FORCE', 'COMP:D', 'SPEC:P', '-VAL', '-COMP:N', 'PF:ask', 'SEM:internal', 'ARG', 'SPEC:ADV', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:NUM:_', 'LANG:EN', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', '-COMP:v', 'ASP', 'PHI:PER:_', 'LF:ask'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
