@  {'test_corpus_file': 'information_structure_corpus.txt', 'test_corpus_folder': 'study-8-information-structure', 'study_folder': 'study-8-information-structure/', 'author': 'PauliBrattico', 'year': 2021, 'date': 'February', 'study_id': 1, 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': False, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': True, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': False, 'image_parameter_show_glosses': True, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-03-17 10:34:16.055974
@  Test sentences from language data working directory\study-8-information-structure\information_structure_corpus.txt.
@  Logs into language data working directory\study-8-information-structure\information_structure_corpus_log.txt.
@  Lexicon from language data working directory\lexicon.txt.
@  Redundancy rules from language data working directory\redundancy_rules.txt.
@  Universal morphemes from language data working directory\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
1,the horse raced past the barn fell ,1,,29245,23,45,81,73,67,0,0,0,0,72,76,146,52,0,23,0,123,4,194,57,23,52,9,4177,253,43,12,656
2,Pekka ihailee Merjaa ,1,,1250,0,0,7,6,7,2,0,0,2,2,4,6,7,0,0,12,3,2,9,5,3,19,3,416,18,4,17,31
3,John admires Mary ,1,,1105,0,0,7,6,7,0,0,0,0,2,4,4,7,0,0,11,3,2,7,5,2,18,3,368,13,4,0,31
4,Merjaa ihailee Pekka ,1,,1305,0,0,8,6,9,4,0,0,4,3,6,9,7,0,0,12,1,3,13,4,2,19,3,435,44,5,56,46
5,Pekka sanoi etta Merja lahtee ,1,,1810,0,0,13,8,15,6,0,0,6,8,10,21,9,0,0,13,12,2,31,9,4,22,4,362,72,6,90,62
6,Merjaa haluaa ihailla Pekka ,1,,1680,0,0,11,9,21,4,0,0,4,5,10,12,10,4,0,12,5,5,17,8,4,22,4,420,77,7,89,62
7,Pekka haluaa Merjaa ihailla ,1,,1705,0,0,14,9,22,5,0,0,5,6,10,14,10,1,0,12,3,4,22,7,5,22,4,426,74,10,75,62
8,keta Pekka ihailee ,1,,1070,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,8,4,2,13,4,3,15,3,356,26,6,18,31
9,Merjaa#[hAn] Pekka ihailee ,1,,1425,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,475,26,6,18,31
10,se talo ihailee Merjaa ,1,,1220,0,0,12,6,5,2,0,0,2,2,4,9,7,0,0,11,4,2,13,4,4,18,3,305,32,7,27,31
11,Pekka teki sopimuksen ihailla Merjaa ,1,,2205,0,0,12,11,30,4,0,0,4,6,11,15,12,4,0,16,15,5,23,13,6,28,5,441,52,7,37,93
12,se mies joka nukkui lahti ,1,,1605,0,0,24,7,14,8,0,7,1,9,11,18,8,0,0,11,1,2,29,4,7,19,4,321,119,14,93,62
13,Pekka sanoi etta Merja lahtee ,1,,1810,0,0,13,8,15,6,0,0,6,8,10,21,9,0,0,13,12,2,31,9,4,22,4,362,72,6,90,78
